item_name,brand,price,seller_score,savings,has_units_sold,units_sold,watching
Mens Stainless Steel Rolex Datejust Presidential 36 MM Blue Dial Watch 25 Ct,Rolex,3799.99,17519,60,FALSE,0,276
Vintage Wakmann Chronograph Wristwatch Watch Mens Panda Dial Works,Wakmann,1495.0,583,0,FALSE,0,14
Men Rolex Solid 18k Yellow Gold Day Date President Watch wRed Diamond Dial 1803,Rolex,9369.98,583,0,FALSE,0,14
New Tag Heuer Formula 1 Alarm 200 M Black Dial Mens Watch WAZ111ABA0875,Tag Heuer,1065.0,4703,23,TRUE,3,38
241660 Victorinox Swiss Army 42mm Automatic Chronograph Titanium Bracelet Watch,Victorinox,1899.99,4595,0,TRUE,2,33
Seiko Astron Solar GPS SS Brown Dial Mens Watch SSE033,Seiko,1068.99,8669,40,TRUE,1,3
Hublot Super B Black Magic Chronograph Automatic Mens Watch 1926NL3010,Hublot,4989.99,8669,40,TRUE,1,3
Longines Conquest Classic White Dial Automatic Mens Watch L27865763,Longines,2448.99,8669,44,FALSE,0,4
Rolex GMT Master II Black Index Dial Oyster Bracelet 18kt Yellow Gold Mens Watch,Rolex,25994.99,8669,44,FALSE,0,4
TAG HEUER MENS 41MM STEEL BRACELET & CASE SWISS QUARTZ WATCH WAY111ABA0928,TAG Heuer,1252.64,969,21,FALSE,0,1
Oris Mens Moon Pointer Black Dial Pro Diver Titanium Swiss Watch 76176827134SET,Oris,1962.0,969,21,FALSE,0,1
New Rolex Submariner Steel & Gold Black Dial 40 mm Automatic ref 116613LN,Rolex,10298.0,600,0,FALSE,0,7
Tag Heuer Aquaracer Black Dial Swiss Automatic Mens Watch WAN2110BA0822,Tag Heuer,1247.0,600,0,FALSE,0,7
Tag Heuer Monaco Mens Swiss Chronograph Automatic Watch CAW2111FC6183,Tag Heuer,3287.0,600,0,FALSE,0,7
Tudor Black Bay Heritage 79220B Automatic 41mm Steel Mens Bracelet Watch ,Tudor,2493.0,247,0,FALSE,0,26
VINTAGE Universal Geneve Aero Compax 224107 Steel Mens Chronograph Watch 375mm,No Brand,7499.0,2700,0,FALSE,0,27
Rado Ceramica Chronograph Mens Quartz Watch R21715162,Rado,1299.0,479,0,TRUE,2,47
NEW UBoat Classico AS 1 Stainless Steel Lefthook Automatic Mens watch 290000,U-Boat,1025.0,962,0,TRUE,1,77
Seiko Solar SS Chronograph GPS Controlled Black Dial Mens Watch SSE013,Seiko,1048.99,8669,41,TRUE,1,5
Anonimo Mens Sailor Black Leather Strap Swiss Automatic Watch AM200002012A01,Anonimo,1540.0,8669,41,TRUE,1,5
Anonimo Mens Cronoscopio Swiss Automatic Leather Strap Watch AM300001006A01,Anonimo,2330.0,8669,41,TRUE,1,5
New Tag Heuer Carrera Calibre 5 39mm Automatic Mens Watch WAR211ABA0782,Tag Heuer,1580.0,4703,34,FALSE,0,1
IWC Pilot Chronograph Stainless Steel 43mm Mens Watch IW377701,IWC,3400.0,488,0,FALSE,0,9
Oris Aquis Grey Dial Stainless Steel Mens Watch 73376534158MB,Oris,1136.99,8669,40,TRUE,1,11
IWC Portofino Black Dial Black Leather Strap Mens Watch IW356502,IWC,3577.99,8669,20,FALSE,0,6
Omega Speedmaster Stainless Steel Mens Watch 3113342300,Omega,3183.99,8669,20,FALSE,0,6
L26284516 Longines Master Collection Mens Watch Black Dial Stainless Steel,Longines,1488.0,8669,20,FALSE,0,6
New Omega Seamaster Aqua Terra Quartz 385mm Mens Watch 2311039600,Omega,1855.0,4703,32,TRUE,4,87
Eterna Mens Soleure Swiss Automatic Black Leather Strap Watch 834041441175,Eterna,1573.0,4703,32,TRUE,4,87
